activity_id,activity_date,developer,project_code,project_name,requirement_id,deliverable_id,activity_type,activity_title,activity_summary,systems_touched,files_touched,evidence_refs,reusable_asset_created,reusable_pattern,validation_rule,gap_or_risk,next_action,status,priority,llm_queryable,company_knowledge_candidate,memory_tags,source_skill_file,source_type
D04-A01,2026-07-27,sarujanan,scwts,Supplier-to-Customer Workflow Tracking System,REQ-01,D04,investigation,Validate inv_product_combo mapping semantics and correct the new-SKU scope,"Confirmed live against a real 3-part combo that inv_product_combo.product = the combo id and inventory = the component id (inventory<>product excludes self-map singles). Rewrote scope to EVERY inv_products row created in 2026 (isdeleted=0) instead of only combos, giving 3,383 new SKUs (1,866 components + 1,517 combos) - matching the manager's independently reported count exactly.","postgresql, inv_products, inv_product_combo","dashboard-v1-sql/build_new_scope.py","live SQL join on a known combo id confirmed product=combo/inventory=component; new-SKU count 3383 matches manager's count",true,"When validating an unfamiliar many-to-many mapping table, join it against ONE known real-world example first and print both sides before trusting the join direction for the whole dataset.",New-SKU count must equal inv_products rows created in the window with isdeleted=0; count must match the business owner's independently reported figure.,None - fully reconciled.,Re-run this reconciliation whenever the inv_products schema changes.,completed,high,true,true,"scwts,inv_products,inv_product_combo,data-model,reconciliation",2026-07-27__sarujanan__scwts__REQ-01-D04.md,skill_file
D04-A02,2026-07-27,sarujanan,scwts,Supplier-to-Customer Workflow Tracking System,REQ-01,D04,bugfix,Fix pack-SKU descriptions misresolved through the combo mapping,"SKUs such as 12IP201302PK have no '+' but ARE mapped in inv_product_combo to a base component; is_combo=sku LIKE '%+%' misclassified them as bare components, so they showed the generic 'Combo Default Title.' instead of the base component's real description and had no supplier resolved. Fixed by resolving description and supplier through the mapping for every mapped SKU, not only '+' combos.","postgresql, inv_products, inv_product_combo","dashboard-v1-sql/build_new_scope.py","component_description fill rose to 100% (4792/4792), generic-title rows fell from ~1400 to 1",false,"A SKU's 'is it a combo' status must be read from the mapping table's membership, not inferred from a naming convention like a '+' delimiter.",100% of rows must have a non-generic component description where the SKU has any mapping row.,None.,None.,completed,high,true,true,"scwts,bugfix,inv_product_combo,description,pack-sku",2026-07-27__sarujanan__scwts__REQ-01-D04.md,skill_file
D04-A03,2026-07-27,sarujanan,scwts,Supplier-to-Customer Workflow Tracking System,REQ-01,D04,bugfix,Revert unapproved Listed business-rule change,"An earlier change had redefined Listed as 'has any live listing' instead of the approved 'Listing Date >= 2026-01-01'. The manager flagged this as an unapproved business-rule change. Reverted to the approved definition and re-validated the full dataset against it.","postgresql, listing_data","dashboard-v1-sql/build_new_scope.py","re-validated: 4792 rows, 3085 Listed / 1707 Not Listed, revenue 75728.69 matching the last approved build",false,"Never change an approved business rule (KPI/status definition) without explicit sign-off, even if the change appears to improve data completeness.",Listed must equal listing_data.created_at >= 2026-01-01 for that SKU and platform; no other definition may be substituted without approval.,None once reverted.,"Treat any future rule change proposal as a question to ask, not a default to apply.",completed,high,true,true,"scwts,business-rule,governance,listed,approval",2026-07-27__sarujanan__scwts__REQ-01-D04.md,skill_file
D04-A04,2026-07-27,sarujanan,scwts,Supplier-to-Customer Workflow Tracking System,REQ-01,D04,validation,Run full 6-source join and field-level validation audit,"Executed the manager's full checklist: showed final SQL for all six sources/joins; verified 40/40 random product images belong to the displayed SKU (newest listing of the resolved SKU); verified 30/30 random listing URLs, marketplaces and listing dates against PostgreSQL; verified 20/20 random combo mappings against inv_product_combo; verified 20/20 random supplier chains order_item->order->container->supplier; produced a full record-count reconciliation table across inv_products, listing_data, inv_product_combo and supplier.order_items with every difference explained.","postgresql, listing_data, inv_product_combo, supplier schema","dashboard-v1/VALIDATION_REPORT.md","40/40 images, 30/30 URLs+dates, 20/20 combo mappings, 20/20 supplier chains, all verified directly against PostgreSQL",true,"For a manager-facing validation request, sample N random records and check them against the live database directly rather than trusting the build script's own printed totals.","Every sampled record's displayed value must match the value found by an independent, differently-written SQL query.",None found in this pass.,"Re-run this sample audit after any change to the resolution/mapping logic.",completed,high,true,true,"scwts,validation,audit,reconciliation,supplier-chain",2026-07-27__sarujanan__scwts__REQ-01-D04.md,skill_file
D04-A05,2026-07-27,sarujanan,scwts,Supplier-to-Customer Workflow Tracking System,REQ-01,D04,investigation,Verify multi-account and multi-marketplace listing_data coverage per SKU,"Confirmed a single SKU can hold many listing_data rows across different marketplace accounts and countries (found one SKU with 20 rows across 13 accounts, 4 channels and 6 country-markets). Proved the dashboard's per-(SKU, platform) metrics correctly sum every account/market with zero loss by spot-checking against traffic_data/ppc_performance and cross-checking the global total.","postgresql, listing_data, traffic_data, ppc_performance","dashboard-v1-sql/build_new_scope.py","per-platform impressions matched a fresh SQL sum exactly; global total 50,131,743 impressions matched the dashboard KPI exactly",false,"When a table can have many rows per business key (multiple accounts/markets per SKU), always verify the aggregation sums ALL of them rather than assuming a naive join covers every row.",Sum of per-platform metrics across all accounts/markets for a SKU must equal the platform-level dashboard figure exactly.,None - fully reconciled.,None.,completed,medium,true,true,"scwts,listing_data,multi-account,validation,traffic",2026-07-27__sarujanan__scwts__REQ-01-D04.md,skill_file
D04-A06,2026-07-27,sarujanan,scwts,Supplier-to-Customer Workflow Tracking System,REQ-01,D04,enhancement,Add marketplace tab list and standalone marketplace_view.sql,"Added a tab list above the master table that filters the existing table in place (reusing the existing S.market state and .tablist/.tab styles, no change to the table itself). Wrote a standalone dashboard-v1-sql/marketplace_view.sql (tracking rows, tab counts, per-marketplace KPI summary, per-account drill-down) and validated it 1:1 against the live tab counts. The manager subsequently reverted the tab UI from the live page; the SQL file remains as a delivered, validated artifact.","html, css, javascript, postgresql","dashboard-v1/index.html, dashboard-v1-sql/marketplace_view.sql","SQL query counts 907/862/1058/258/1707=4792 matched the live UI tab counts exactly before the UI was reverted",true,"A UI filter control should drive existing state/filter logic rather than duplicating it, so the underlying table and its columns never need to change.",Per-tab record counts shown in the UI must equal the standalone SQL file's counts for the same marketplace filter.,UI portion was reverted by the manager after being built and validated; SQL artifact is unused by the live page for now.,Re-apply the tab UI if/when the manager approves it again.,completed,low,true,true,"scwts,ui,marketplace,tabs,sql,reverted",2026-07-27__sarujanan__scwts__REQ-01-D04.md,skill_file
D04-A07,2026-07-27,sarujanan,scwts,Supplier-to-Customer Workflow Tracking System,REQ-01,D04,implementation,Build the daily automation pipeline and reuse the existing AIOS uploader,"Reviewed existing project assets first and reused the sibling Returns-Reason-Hotspot-Report project's refresh_and_publish.sh pattern and the existing push_to_hub.js Varman AIOS uploader unchanged. Added env-driven DB credentials, a supplier-schema permission probe (discovered temp_user now HAS USAGE - upgraded supplier fetch from a 178/739-row cache fallback to a live fetch of 1,541 SKUs every run), a 13-check dataset validation gate, the 2-stage gated orchestrator scripts/refresh_and_publish.sh, an installed 0 11 * * * cron entry, and AUTOMATION.md documenting the whole flow.","bash, python, cron, postgresql, node.js","scripts/refresh_and_publish.sh, dashboard-v1-sql/build_new_scope.py, AUTOMATION.md, crontab","supplier probe: suppliers=47 orders=267 containers=25 order_items=4029 all readable; 13/13 initial validation checks PASS",true,"Before building new automation, search the environment for an existing proven orchestrator pattern in a sibling project and mirror it rather than inventing a new shape.",A failed or corrupt build must never be able to overwrite the last good published dashboard; publish must be gated on both build exit code and an HTML sanity check.,None once verified (see D04-A08).,Monitor the first unattended 11:00 cron execution.,completed,high,true,true,"scwts,automation,cron,scheduler,aios,supplier-validation",2026-07-27__sarujanan__scwts__REQ-01-D04.md,skill_file
D04-A08,2026-07-27,sarujanan,scwts,Supplier-to-Customer Workflow Tracking System,REQ-01,D04,validation,Independently verify the automation instead of trusting its own PASS output,"Ran the real pipeline end to end and confirmed the published hub content MD5 exactly matches the local HTML file MD5. Simulated a hard build failure and confirmed stage 2 (publish) never runs and the hub is left untouched. Simulated an undersized/corrupt HTML output and confirmed the sanity gate blocks publish and the hub is left untouched. Independently recomputed revenue straight from PostgreSQL rather than trusting the builder's own totals, which is what surfaced the gap fixed in D04-A09.","bash, postgresql, varman_aios.hub_pages","scripts/refresh_and_publish.sh","hub html_content MD5 == local file MD5 in both the pass and both simulated-failure scenarios; hub row unchanged in both failure scenarios",false,"Verifying automation means proving the failure paths actually block publishing, not just confirming the happy path exits zero - simulate both a hard failure and a corrupt-output scenario before trusting a publish gate.",Hub content MD5 must equal the local published file's MD5 after every successful run; hub content must be provably unchanged after any blocked run.,None - both failure paths confirmed working.,None.,completed,high,true,true,"scwts,automation,testing,verification,hub-publish",2026-07-27__sarujanan__scwts__REQ-01-D04.md,skill_file
D04-A09,2026-07-27,sarujanan,scwts,Supplier-to-Customer Workflow Tracking System,REQ-01,D04,bugfix,Fix silent revenue-attachment gap and add a permanent reconciliation guard,"Independent reconciliation found orders/traffic/returns were matched to a row only by (SKU, listed platform); a completed order on a platform where the SKU had no listing computed correctly but attached to no row, silently dropping £31,734.23 across roughly 1,000 orders and showing £0 on some Not Listed rows that had real sales. With the manager's explicit approval before changing any business logic, fixed the row set to the union of listed platforms and platforms with real order/traffic/return activity, so a platform with sales but no listing now renders correctly as a Not Listed row carrying its true numbers. Re-verified revenue reconciles exactly to an independent SQL total and added a permanent hard-gate check, Revenue reconciles to independent PostgreSQL total, so this class of bug cannot silently reappear.","postgresql, order_transaction, traffic_data, amazon/ebay/shopify_returns","dashboard-v1-sql/build_new_scope.py","dashboard revenue 107462.92 == independent SQL total 107462.92 (was 75728.69, a 31734.23 gap); rows grew 4792->4982",true,"When a metric is attached to a row via a compound key (SKU + platform), always check for values whose second key has no matching row at all - they compute correctly but silently vanish from every downstream total.","Total revenue for the in-scope SKU set, computed independently with no platform matching, must equal the sum shown across all dashboard rows within 0.01.",None - closed and permanently guarded.,"Keep the reconciliation check as a permanent hard gate in every future rebuild of this dataset.",completed,critical,true,true,"scwts,bugfix,revenue,reconciliation,data-integrity,approved-change",2026-07-27__sarujanan__scwts__REQ-01-D04.md,skill_file
D04-A10,2026-07-27,sarujanan,scwts,Supplier-to-Customer Workflow Tracking System,REQ-01,D04,bugfix,Fix sticky Record ID column visually collapsing on row hover,"The pinned Record ID column visually collapsed into that row's other, scrolled-away cell text whenever the row was hovered. Root cause: tbody tr:hover td.sticky-c only set background:rgba(47,111,237,.05), which is 5% opaque, so the same row's other cells - which sit at the same screen x-position underneath the sticky cell once the table is scrolled right - showed through. Fixed by layering an opaque background-color under the translucent tint (background-color:var(--card) plus a background-image gradient for the highlight), verified by reading the actual parsed CSS rule text (dispatching a synthetic mouseover event does not trigger real :hover state, so the rule text was checked directly instead of relying on a screenshot of a forced hover).","html, css","dashboard-v1/index.html","parsed stylesheet rule confirmed: background-color:var(--card); background-image:linear-gradient(rgba(47,111,237,.05),rgba(47,111,237,.05))",false,"A low-alpha rgba() background on a position:sticky cell will let same-row content scrolled underneath it bleed through on any state change (hover/focus); always pair it with an opaque background-color painted first.","The sticky column's background must remain fully opaque (no bleed-through of adjacent scrolled content) in every row state, including hover.",None.,None.,completed,medium,true,true,"scwts,ui,css,sticky,hover,bugfix",2026-07-27__sarujanan__scwts__REQ-01-D04.md,skill_file
