12ASIP20100||Transformer HN Supplier|DE Container 01 2026|THN032026DE|100|2026-03-18|0|
12ASIP2060||Transformer HN Supplier|DE Container 01 2026|THN032026DE|100|2026-03-18|0|
12BO18|18w Blue and Orange case|Transformer Blue and Orange Supplier|DE Container 01 2026|TBO032026DE|1500|2026-03-18|0|2026-04-26
12BO28|28w Blue and Orange case|Transformer Blue and Orange Supplier|DE Container 01 2026|TBO032026DE|2000|2026-03-18|0|2026-04-26
12BO48|48W Blue and Orange case|Transformer Blue and Orange Supplier|DE Container 01 2026|TBO032026DE|1500|2026-03-18|0|2026-04-26
12BO72|72w Blue and Orange case|Transformer Blue and Orange Supplier|DE Container 01 2026|TBO032026DE|400|2026-03-18|0|2026-04-26
12IP20100|12V IP20 100W  8.5A|Transformer SM Supplier|DE Container 02 2026|TSM052026-DE|150|2026-05-22|0|2026-05-31
12IP2012|12v IP20 12W 1A|Transformer NG Supplier|DE Container 02 2026|TNG052026-DE|200|2026-05-22|0|2026-05-30
12IP2036|12V IP20 36W 3A|Transformer NG Supplier|Container 08 2026|TNG072026|120|2026-07-23|0|
12IP2040|12V IP20 40W 3.2A|Transformer NG Supplier|DE Container 02 2026|TNG052026-DE|100|2026-05-22|0|2026-05-30
12IP20400|12V IP20 400W  33A|Transformer SM Supplier|Container 08 2026|TSM072026-02|48|2026-07-23|0|
12IP20600|12v 50a 600w IP20|Transformer HN Supplier|DE Container 02 2026|THN052026-DE|50|2026-05-22|0|
12IP67120OL2||Transformer HN Supplier|DE Container 02 2026|THN052026-DE|105|2026-05-22|0|
12IP67250|12v IP67 250w waterproo|Transformer HN Supplier|DE Container 02 2026|THN052026-DE|100|2026-05-22|0|
12SIP67150|12V Slim IP67 150|Transformer HN Supplier|DE Container 01 2026|THN032026DE|100|2026-03-18|0|
12SIP67200|12V Slim IP67 200|Transformer HN Supplier|DE Container 01 2026|THN032026DE|120|2026-03-18|0|
12UK3P6A|12V6A|Adapters|Container 08 2026|ADP072026-02|300|2026-07-23|0|
24IP20240|24V IP20 240W 10A|Transformer SM Supplier|DE Container 02 2026|TSM052026-DE|72|2026-05-22|0|2026-05-31
